

 symbol  | id            | first_trade_id | is_buyer_maker | last_trade_id | price   | quantity | time                            | timestamp

---------+---------------+----------------+----------------+---------------+---------+----------+---------------------------------+---------------

 BNBUSDT | 1712477491805 |     1242627543 |           True |    1242627543 | 587.620 |     0.06 | 1970-01-07 09:43:51.242000+0000 | 1712477491650

 BNBUSDT | 1712477493945 |     1242627544 |          False |    1242627548 | 587.630 |     3.46 | 1970-01-07 09:43:51.243000+0000 | 1712477493790

 BNBUSDT | 1712477494417 |     1242627549 |          False |    1242627549 | 587.630 |     0.01 | 1970-01-07 09:43:51.244000+0000 | 1712477494303

 BNBUSDT | 1712477494568 |     1242627550 |           True |    1242627550 | 587.620 |     0.01 | 1970-01-07 09:43:51.245000+0000 | 1712477494413

 BNBUSDT | 1712477495354 |     1242627551 |           True |    1242627551 | 587.620 |     0.01 | 1970-01-07 09:43:51.246000+0000 | 1712477495200

 BNBUSDT | 1712477495872 |     1242627552 |           True |    1242627552 | 587.620 |     0.03 | 1970-01-07 09:43:51.247000+0000 | 1712477495864

 BNBUSDT | 1712477496023 |     1242627553 |          False |    1242627553 | 587.630 |     0.03 | 1970-01-07 09:43:51.248000+0000 | 1712477495869

 BNBUSDT | 1712477497373 |     1242627554 |           True |    1242627554 | 587.620 |     0.02 | 1970-01-07 09:43:51.249000+0000 | 1712477497219

 BNBUSDT | 1712477497812 |     1242627555 |          False |    1242627555 | 587.630 |     0.26 | 1970-01-07 09:43:51.250000+0000 | 1712477497658

 BNBUSDT | 1712477498914 |     1242627556 |          False |    1242627556 | 587.630 |     3.27 | 1970-01-07 09:43:51.251000+0000 | 1712477498760

 BNBUSDT | 1712477499313 |     1242627557 |           True |    1242627557 | 587.620 |     0.01 | 1970-01-07 09:43:51.252000+0000 | 1712477499201

 BNBUSDT | 1712477499464 |     1242627558 |          False |    1242627558 | 587.630 |     0.01 | 1970-01-07 09:43:51.253000+0000 | 1712477499309

 BNBUSDT | 1712477499751 |     1242627559 |          False |    1242627559 | 587.630 |     0.04 | 1970-01-07 09:43:51.254000+0000 | 1712477499598

 BNBUSDT | 1712477500127 |     1242627560 |           True |    1242627560 | 587.620 |     0.84 | 1970-01-07 09:43:51.255000+0000 | 1712477499973

 BNBUSDT | 1712477500695 |     1242627561 |          False |    1242627561 | 587.630 |     0.15 | 1970-01-07 09:43:51.256000+0000 | 1712477500541

 BNBUSDT | 1712477502419 |     1242627562 |           True |    1242627562 | 587.620 |     0.01 | 1970-01-07 09:43:51.257000+0000 | 1712477502264

 BNBUSDT | 1712477502555 |     1242627563 |           True |    1242627564 | 587.620 |     0.03 | 1970-01-07 09:43:51.258000+0000 | 1712477502430

 BNBUSDT | 1712477502706 |     1242627565 |           True |    1242627565 | 587.620 |     0.01 | 1970-01-07 09:43:51.259000+0000 | 1712477502551

 BNBUSDT | 1712477503531 |     1242627566 |           True |    1242627566 | 587.620 |     0.01 | 1970-01-07 09:43:51.260000+0000 | 1712477503377

 BNBUSDT | 1712477503907 |     1242627567 |          False |    1242627567 | 587.630 |     2.99 | 1970-01-07 09:43:51.261000+0000 | 1712477503753

